TIME(2022/02/09 15:49:20.545),TIMETICK(f=10000000),FPOGX,FPOGY
1.49872,724213941981,0.54383,0.24312
1.50549,724214010243,0.60675,-0.06376
1.51227,724214077557,0.6793,-0.31872
1.5199,724214153959,0.71787,-0.44505
1.52679,724214223158,0.71787,-0.44505
1.53345,724214289775,0.75643,-0.57139
1.53973,724214352157,0.75643,-0.57139
1.54626,724214417771,0.75643,-0.57139
1.55304,724214485457,0.0,0.0
1.56061,724214560986,0.0,0.0
1.56732,724214628451,0.0,0.0
1.57465,724214701664,0.0,0.0
1.58093,724214764266,0.0,0.0
1.58752,724214830417,0.0,0.0
1.59326,724214887691,0.0,0.0
1.60028,724214958133,0.0,0.0
1.60693,724215024334,0.0,0.0
1.61377,724215092924,0.0,0.0
1.62152,724215170176,0.0,0.0
1.62854,724215240225,0.0,0.0
1.63623,724215317574,0.0,0.0
1.64349,724215390208,0.0,0.0
1.65137,724215468566,0.0,0.0
1.65808,724215535966,0.0,0.0
1.6673,724215627961,0.0,0.0
1.67676,724215722375,0.0,0.0
1.68518,724215806934,0.0,0.0
1.69141,724215869215,0.0,0.0
1.698,724215935300,0.0,0.0
1.70447,724215999588,0.0,0.0
1.71222,724216077287,0.0,0.0
1.71899,724216145267,0.0,0.0
1.72565,724216211814,0.0,0.0
1.73242,724216278989,0.0,0.0
1.7395,724216350371,0.0,0.0
1.74713,724216426295,0.0,0.0
1.75391,724216493991,0.0,0.0
1.76074,724216562394,0.0,0.0
1.76843,724216639555,0.0,0.0
1.77582,724216713364,0.0,0.0
1.78265,724216781851,0.0,0.0
1.79028,724216858045,0.0,0.0
1.79669,724216922057,0.0,0.0
1.80371,724216992346,0.0,0.0
1.81122,724217067240,0.0,0.0
1.8175,724217130226,0.0,0.0
1.82556,724217210666,0.0,0.0
1.83228,724217277552,0.0,0.0
1.84027,724217357994,0.0,0.0
1.84631,724217418457,0.0,0.0
1.85284,724217483744,0.0,0.0
1.85889,724217543989,0.0,0.0
1.86621,724217617018,0.0,0.0
1.87299,724217684759,0.0,0.0
1.87909,724217745782,0.0,0.0
1.88641,724217819311,0.0,0.0
1.89374,724217892146,0.0,0.0
1.90192,724217974171,0.0,0.0
1.90851,724218040157,0.0,0.0
1.91492,724218104217,0.0,0.0
1.9209,724218163895,0.0,0.0
1.92743,724218229189,0.0,0.0
1.93524,724218307577,0.0,0.0
1.94196,724218374681,0.0,0.0
1.9494,724218449102,0.0,0.0
1.95599,724218515291,0.0,0.0
1.96259,724218581002,0.0,0.0
1.96851,724218639854,0.0,0.0
1.97498,724218705079,0.0,0.0
1.98175,724218772411,0.0,0.0
1.98834,724218838282,0.0,0.0
1.99683,724218923470,0.0,0.0
2.00482,724219003511,0.0,0.0
2.01208,724219075693,0.0,0.0
2.01825,724219137579,0.0,0.0
2.02429,724219198241,0.0,0.0
2.03064,724219261157,0.0,0.0
2.03748,724219329606,0.0,0.0
2.04584,724219413153,0.0,0.0
2.05341,724219488932,0.0,0.0
2.06055,724219560290,0.0,0.0
2.06647,724219619642,0.0,0.0
2.07324,724219687734,0.0,0.0
2.07935,724219748659,0.0,0.0
2.08557,724219810618,0.0,0.0
2.09131,724219868322,0.0,0.0
2.09778,724219933071,0.0,0.0
2.10535,724220008464,0.0,0.0
2.11389,724220094274,0.0,0.0
2.12079,724220163023,0.0,0.0
2.12689,724220223958,0.0,0.0
2.13312,724220286049,0.0,0.0
2.13965,724220351352,0.0,0.0
2.14612,724220416257,0.0,0.0
2.15375,724220492330,0.0,0.0
2.16101,724220565194,0.0,0.0
2.16858,724220640866,0.0,0.0
2.17444,724220699598,0.0,0.0
2.18073,724220762246,0.0,0.0
2.18781,724220832884,0.0,0.0
2.19409,724220895987,0.0,0.0
2.2005,724220959992,0.0,0.0
2.20685,724221023388,0.0,0.0
2.21307,724221085862,0.0,0.0
2.2196,724221150823,0.0,0.0
2.22809,724221235737,0.0,0.0
2.23627,724221317950,0.0,0.0
2.24414,724221396746,0.0,0.0
2.25146,724221469504,0.0,0.0
2.25885,724221543686,0.0,0.0
2.26685,724221623268,0.0,0.0
2.27344,724221689470,0.0,0.0
2.27954,724221750194,0.0,0.0
2.28534,724221808629,0.0,0.0
2.2915,724221870251,0.0,0.0
2.29749,724221929726,0.0,0.0
2.30334,724221988355,0.0,0.0
2.3092,724222047230,0.0,0.0
2.3161,724222116216,0.0,0.0
2.32245,724222179814,0.0,0.0
2.32916,724222246800,0.0,0.0
2.336,724222314911,0.0,0.0
2.34277,724222383011,0.0,0.0
2.35016,724222456749,0.0,0.0
2.3562,724222517074,0.0,0.0
2.36273,724222582402,0.0,0.0
2.37061,724222660853,0.0,0.0
2.37885,724222743713,0.0,0.0
2.38599,724222814780,0.0,0.0
2.39288,724222884126,0.0,0.0
2.39978,724222953117,0.0,0.0
2.40619,724223017077,0.0,0.0
2.41315,724223086285,0.0,0.0
2.41992,724223154011,0.0,0.0
2.42755,724223230802,0.0,0.0
2.4342,724223297267,0.0,0.0
2.4411,724223366242,0.0,0.0
2.44739,724223428885,0.0,0.0
2.45398,724223494751,0.0,0.0
2.46045,724223559766,0.0,0.0
2.46698,724223624984,0.0,0.0
2.47516,724223706699,0.0,0.0
2.48254,724223780722,0.0,0.0
2.49011,724223856101,0.0,0.0
2.49695,724223924581,0.0,0.0
2.50366,724223991443,0.0,0.0
2.51031,724224057922,0.0,0.0
2.51703,724224125245,0.0,0.0
2.52368,724224191891,0.0,0.0
2.53033,724224258583,0.0,0.0
2.53705,724224325638,0.0,0.0
2.54382,724224393232,0.0,0.0
2.55048,724224459919,0.0,0.0
2.55768,724224531780,0.0,0.0
2.5639,724224594090,0.0,0.0
2.57056,724224660598,0.0,0.0
2.57837,724224738985,0.0,0.0
2.58508,724224806128,0.0,0.0
2.59247,724224879455,0.0,0.0
2.59894,724224944132,0.0,0.0
2.60565,724225011711,0.0,0.0
2.61157,724225070937,0.0,0.0
2.61896,724225144496,0.0,0.0
2.62512,724225206354,0.0,0.0
2.63171,724225271954,0.0,0.0
2.63794,724225334704,0.0,0.0
2.64429,724225398047,0.0,0.0
2.65094,724225464594,0.0,0.0
2.65759,724225530791,0.18788,0.10971
2.66425,724225597749,0.25034,0.14712
2.6709,724225663750,0.36807,0.22014
2.6778,724225732900,0.36763,0.23903
2.68433,724225798547,0.36748,0.24533
2.69092,724225864161,0.36324,0.25123
2.69849,724225939863,0.36348,0.25454
2.70453,724226000147,0.36354,0.25725
2.711,724226065116,0.36404,0.25852
2.71783,724226133394,0.36356,0.26222
2.72461,724226200883,0.36313,0.26541
2.73108,724226265986,0.36385,0.26059
2.73792,724226334176,0.36651,0.25807
2.74475,724226402752,0.36879,0.25553
2.75122,724226467262,0.37446,0.21786
2.75812,724226536318,0.38218,0.18457
2.76477,724226602796,0.38886,0.15573
2.77155,724226670774,0.39812,0.12699
2.77832,724226737980,0.39606,0.18854
2.78479,724226802754,0.39538,0.20906
2.7915,724226870239,0.39293,0.24662
2.79822,724226937331,0.39204,0.25089
2.80499,724227005194,0.39174,0.25232
2.81146,724227069823,0.39568,0.26046
2.81842,724227139334,0.39867,0.25735
2.82495,724227204577,0.40066,0.25528
2.83191,724227273933,0.39973,0.25533
2.8385,724227339810,0.3973,0.25652
2.84521,724227407431,0.39541,0.25745
2.85498,724227504786,0.39313,0.25961
2.85962,724227551162,0.39129,0.26455
2.86633,724227618639,0.38975,0.26867
2.87305,724227685560,0.38975,0.26867
